max_length top_p top_k temperature
4587.00 0.67 42.00 1.54
3572.00 0.79 92.00 1.62
3276.00 0.66 62.00 0.21
6063.00 0.37 99.00 0.08
3712.00 0.54 84.00 1.55
949.00 0.29 68.00 0.85
6642.00 0.45 25.00 1.97
5750.00 0.54 43.00 0.26
6193.00 0.71 57.00 0.45
9470.00 0.43 24.00 0.82
6110.00 0.24 7.00 1.19
9364.00 0.11 86.00 1.34
9003.00 0.35 68.00 0.11
7349.00 0.01 22.00 0.72
1624.00 0.57 40.00 0.13
4249.00 0.39 66.00 1.13
3160.00 0.14 36.00 0.58
9012.00 0.08 83.00 0.32
5927.00 0.94 73.00 0.27
6006.00 0.69 29.00 1.29
4686.00 0.30 92.00 1.28
9557.00 0.51 12.00 0.86
1782.00 0.89 83.00 0.14
3451.00 0.74 48.00 1.09
1582.00 0.17 67.00 0.88
819.00 0.68 27.00 0.14
4539.00 0.11 10.00 1.90
4758.00 0.18 16.00 1.29
4631.00 0.60 51.00 1.20
3323.00 0.66 23.00 1.70
8953.00 0.85 85.00 1.43
6449.00 0.30 59.00 1.16
891.00 0.98 90.00 1.75
7740.00 0.18 17.00 0.12
6231.00 0.31 95.00 0.63
5665.00 0.49 33.00 0.36
8072.00 0.67 77.00 1.91
1958.00 0.63 39.00 1.40
7762.00 0.88 19.00 1.24
2832.00 0.59 72.00 1.98
8406.00 0.66 34.00 1.77
1675.00 0.34 60.00 1.94
5290.00 0.79 77.00 0.48
8765.00 0.74 37.00 1.53
3891.00 0.08 50.00 0.47
7775.00 0.00 31.00 0.01
2581.00 0.48 63.00 1.27
4158.00 0.86 71.00 1.25
857.00 0.51 100.00 0.44
309.00 0.89 46.00 0.78
5057.00 0.28 67.00 0.44
1435.00 0.78 13.00 0.38
6836.00 0.15 77.00 1.95
3936.00 0.45 19.00 0.99
3103.00 0.04 2.00 1.01
4529.00 0.33 43.00 1.34
961.00 0.81 64.00 0.75
1523.00 0.10 65.00 0.89
9222.00 0.81 88.00 1.27
9651.00 1.00 3.00 0.56
7572.00 0.62 43.00 1.05
5779.00 0.83 75.00 0.68
4847.00 0.87 90.00 1.48
3301.00 0.78 46.00 1.72
8672.00 0.31 16.00 0.46
6607.00 1.00 30.00 0.96
8745.00 0.98 76.00 0.79
7418.00 0.09 1.00 0.89
8205.00 0.36 54.00 0.36
2183.00 0.75 51.00 1.16
7928.00 0.09 10.00 1.35
6944.00 0.74 90.00 1.93
6925.00 0.01 44.00 1.61
6262.00 0.54 29.00 0.91
1070.00 0.76 37.00 2.00
5505.00 0.06 84.00 1.10
4503.00 0.97 1.00 0.13
7078.00 0.60 65.00 1.26
2435.00 0.84 67.00 0.94
716.00 0.84 65.00 1.88
8689.00 0.52 6.00 0.97
6281.00 0.07 28.00 0.34
4435.00 0.92 14.00 1.19
663.00 0.56 84.00 0.67
5231.00 0.07 51.00 1.14
7430.00 0.59 83.00 0.22
8904.00 0.96 16.00 1.83
8284.00 0.40 26.00 1.12
8300.00 0.70 82.00 1.68
9190.00 0.71 2.00 1.66
9497.00 0.82 69.00 0.15
547.00 0.07 93.00 1.48
4002.00 0.25 54.00 1.18
6711.00 0.09 97.00 1.60
7233.00 0.90 26.00 1.31
4390.00 0.17 77.00 1.78
4204.00 0.01 4.00 1.39
2999.00 0.62 86.00 1.38
8041.00 0.62 35.00 1.25
179.00 0.20 92.00 1.40
7854.00 0.60 49.00 1.53
5902.00 0.97 91.00 0.77
5590.00 0.94 25.00 0.51
7808.00 0.52 70.00 1.56
2888.00 0.27 33.00 0.66
473.00 0.63 87.00 0.29
587.00 0.21 0.00 0.84
7461.00 0.18 56.00 1.03
6831.00 0.32 21.00 0.67
9718.00 0.28 36.00 0.37
422.00 0.88 43.00 0.45
1903.00 0.48 63.00 1.87
617.00 0.04 34.00 0.60
1222.00 0.85 37.00 0.47
5378.00 0.88 51.00 0.45
2572.00 0.69 71.00 1.91
9883.00 0.68 63.00 0.33
2251.00 0.83 44.00 0.17
5095.00 0.26 26.00 1.87
4071.00 0.13 99.00 0.35
4568.00 0.05 83.00 1.60
2805.00 0.26 1.00 1.19
1417.00 0.22 70.00 0.91
2533.00 0.35 29.00 0.80
102.00 0.02 87.00 1.62
8008.00 0.27 15.00 1.30
840.00 0.44 78.00 0.07
1502.00 0.12 51.00 0.42
4820.00 0.52 81.00 0.68
6803.00 0.46 76.00 0.74
5865.00 0.20 13.00 1.45
5448.00 0.12 53.00 1.31
8105.00 0.51 29.00 1.76
5836.00 0.34 55.00 0.18
5156.00 0.47 18.00 1.36
7783.00 0.24 12.00 1.67
266.00 0.92 56.00 0.77
2271.00 0.47 4.00 1.74
2755.00 0.21 16.00 1.14
7946.00 0.53 8.00 1.74
6738.00 0.68 22.00 0.21
4712.00 0.19 45.00 1.31
5083.00 0.77 59.00 0.61
4939.00 0.38 41.00 0.30
2655.00 0.46 33.00 0.28
9526.00 0.36 38.00 1.12
2914.00 0.10 66.00 1.66
2703.00 0.30 67.00 1.00
2205.00 0.79 0.00 0.11
7674.00 0.34 40.00 0.77
7001.00 1.00 55.00 0.11
4058.00 0.61 28.00 0.40
5807.00 0.41 89.00 1.97
8181.00 0.05 36.00 1.35
6486.00 0.05 61.00 0.87
9042.00 0.70 47.00 0.90
8432.00 0.55 10.00 0.78
650.00 0.95 11.00 0.43
4438.00 0.64 58.00 1.70
4987.00 0.39 79.00 1.41
1821.00 0.30 38.00 1.54
3493.00 0.50 89.00 0.05
8709.00 0.10 45.00 0.68
341.00 0.98 12.00 1.69
1717.00 0.35 39.00 0.34
7256.00 0.49 58.00 0.16
1558.00 0.70 73.00 1.33
