max_length top_p top_k temperature
505.00 0.23 44.00 1.09
880.00 0.03 54.00 0.26
986.00 0.24 33.00 0.88
620.00 0.95 18.00 0.82
892.00 0.23 14.00 0.94
115.00 0.51 48.00 0.32
687.00 0.20 89.00 0.06
538.00 0.94 6.00 0.08
418.00 0.44 32.00 0.35
946.00 0.09 1.00 1.74
819.00 0.50 11.00 1.20
767.00 0.64 14.00 0.92
327.00 0.19 16.00 0.18
294.00 0.19 36.00 0.00
124.00 0.45 31.00 0.38
306.00 0.52 17.00 0.41
937.00 0.96 85.00 2.00
261.00 0.65 90.00 1.34
167.00 0.60 65.00 1.43
164.00 0.78 82.00 0.48
449.00 0.46 26.00 0.48
174.00 0.17 33.00 1.69
114.00 0.84 36.00 1.49
533.00 0.33 24.00 0.51
983.00 0.81 25.00 1.14
445.00 0.15 44.00 1.21
930.00 0.95 48.00 1.50
602.00 0.63 92.00 1.73
704.00 0.93 79.00 1.85
496.00 0.94 80.00 1.96
811.00 0.70 71.00 0.19
631.00 0.03 96.00 1.08
666.00 0.91 34.00 1.31
508.00 0.74 8.00 1.28
285.00 0.96 91.00 0.09
490.00 0.71 64.00 0.59
600.00 0.47 36.00 1.84
582.00 0.65 76.00 1.66
778.00 0.90 35.00 0.10
812.00 0.88 15.00 1.87
780.00 0.10 70.00 0.25
245.00 0.91 80.00 0.42
129.00 0.02 29.00 1.83
551.00 0.97 65.00 1.79
297.00 0.09 83.00 1.93
351.00 0.20 62.00 1.13
592.00 0.11 74.00 1.86
216.00 0.83 42.00 1.81
564.00 0.18 23.00 1.51
159.00 0.13 67.00 0.96
436.00 0.39 21.00 1.97
655.00 0.97 41.00 0.89
741.00 0.32 34.00 1.67
948.00 0.06 1.00 1.55
410.00 0.73 6.00 0.86
483.00 0.13 91.00 1.38
532.00 0.86 75.00 1.94
299.00 0.49 71.00 0.97
702.00 0.22 76.00 1.53
942.00 0.61 65.00 1.81
392.00 0.27 61.00 1.29
173.00 0.50 99.00 0.39
355.00 0.53 7.00 1.00
883.00 0.79 14.00 0.70
683.00 0.07 48.00 1.07
129.00 0.93 2.00 0.37
498.00 0.20 63.00 1.41
792.00 0.04 56.00 0.40
506.00 0.29 29.00 1.40
289.00 0.09 35.00 0.15
820.00 0.94 12.00 1.12
773.00 0.78 4.00 0.61
733.00 0.86 63.00 1.28
235.00 0.67 54.00 1.90
564.00 0.09 96.00 0.86
276.00 0.15 40.00 0.02
695.00 0.08 1.00 1.04
742.00 0.22 41.00 1.27
469.00 0.40 6.00 1.47
329.00 0.53 86.00 1.76
572.00 0.85 86.00 0.51
399.00 0.42 42.00 0.12
855.00 0.57 73.00 0.73
774.00 0.52 87.00 0.35
122.00 0.27 50.00 1.22
118.00 0.54 35.00 1.32
832.00 0.31 10.00 1.62
456.00 0.91 8.00 1.38
910.00 0.02 19.00 1.19
693.00 0.72 87.00 1.73
608.00 0.46 15.00 1.36
518.00 0.11 97.00 0.34
736.00 0.55 24.00 0.74
851.00 0.16 100.00 0.01
120.00 0.61 67.00 1.82
186.00 0.55 61.00 0.89
749.00 0.48 38.00 0.88
438.00 0.15 55.00 1.15
575.00 0.07 32.00 0.34
867.00 0.77 82.00 0.63
794.00 0.53 54.00 0.70
440.00 0.12 29.00 0.79
188.00 0.74 5.00 1.95
640.00 0.69 99.00 1.88
493.00 0.82 68.00 0.65
382.00 0.78 84.00 0.60
381.00 0.24 12.00 1.80
645.00 0.42 64.00 0.29
874.00 0.39 2.00 1.63
856.00 0.36 99.00 1.78
105.00 0.68 52.00 1.86
413.00 0.95 53.00 1.24
489.00 0.65 18.00 0.08
345.00 0.65 52.00 1.46
354.00 0.86 38.00 1.45
599.00 0.30 99.00 0.58
426.00 0.83 51.00 0.06
151.00 0.57 85.00 0.78
313.00 0.68 53.00 0.56
870.00 0.29 94.00 1.89
786.00 0.66 32.00 1.55
204.00 0.81 17.00 0.75
274.00 0.69 68.00 1.01
978.00 0.23 7.00 0.99
575.00 0.93 20.00 1.63
784.00 0.50 5.00 1.52
303.00 1.00 10.00 0.42
756.00 0.22 26.00 0.31
691.00 0.63 57.00 1.23
226.00 0.30 79.00 1.89
558.00 0.02 69.00 1.61
688.00 0.62 6.00 0.01
824.00 0.05 44.00 0.87
479.00 0.76 78.00 0.10
785.00 0.83 37.00 1.04
441.00 0.34 87.00 1.46
714.00 0.91 49.00 0.57
997.00 0.83 35.00 0.91
604.00 0.11 90.00 0.63
803.00 0.88 42.00 0.51
886.00 0.59 96.00 0.32
871.00 0.37 58.00 0.36
278.00 0.75 2.00 0.95
834.00 0.56 66.00 0.28
336.00 0.01 31.00 0.67
233.00 0.08 51.00 0.38
160.00 0.16 41.00 1.78
607.00 0.27 76.00 0.20
639.00 0.80 73.00 0.66
567.00 0.38 55.00 0.12
132.00 0.11 63.00 1.53
685.00 0.87 14.00 0.03
898.00 0.25 88.00 0.36
318.00 0.36 79.00 1.43
591.00 0.48 60.00 0.03
975.00 0.91 52.00 0.46
776.00 0.17 67.00 0.68
649.00 0.49 2.00 0.77
899.00 0.07 79.00 0.77
555.00 0.18 43.00 1.39
512.00 0.26 78.00 1.17
970.00 0.32 78.00 1.67
236.00 0.41 84.00 1.74
454.00 0.24 99.00 0.40
919.00 0.69 53.00 0.82
546.00 0.81 71.00 0.56
520.00 0.04 22.00 1.33
516.00 0.26 93.00 0.44
658.00 0.21 25.00 1.89
823.00 0.88 45.00 1.10
939.00 0.88 18.00 0.82
838.00 0.08 47.00 0.61
476.00 1.00 75.00 0.20
959.00 0.82 69.00 0.50
643.00 0.37 25.00 0.57
512.00 0.44 13.00 1.88
414.00 0.58 5.00 1.10
167.00 0.44 69.00 1.37
753.00 0.06 3.00 1.15
902.00 0.21 98.00 0.07
112.00 0.64 87.00 0.90
144.00 0.90 89.00 0.97
968.00 0.60 27.00 1.22
557.00 0.71 42.00 1.99
332.00 0.37 13.00 1.01
237.00 0.58 81.00 0.46
839.00 0.40 6.00 1.51
667.00 0.89 4.00 0.45
621.00 0.72 63.00 1.10
652.00 0.94 6.00 1.57
369.00 0.14 45.00 1.40
843.00 0.84 60.00 1.30
227.00 0.49 16.00 1.57
589.00 0.97 32.00 1.35
863.00 0.71 1.00 0.69
933.00 0.63 29.00 1.07
895.00 0.43 68.00 0.81
635.00 0.05 84.00 0.92
864.00 0.77 89.00 0.14
266.00 0.36 70.00 0.83
383.00 0.54 40.00 0.61
449.00 0.98 0.00 1.93
571.00 0.81 17.00 0.65
283.00 0.40 5.00 1.43
389.00 0.21 65.00 0.64
536.00 0.24 20.00 0.28
205.00 0.79 56.00 0.04
952.00 0.76 4.00 1.13
316.00 0.20 21.00 0.08
429.00 0.62 92.00 0.09
431.00 0.72 25.00 1.05
814.00 0.05 54.00 1.03
467.00 0.50 71.00 0.45
553.00 0.12 59.00 0.21
372.00 0.68 47.00 1.90
990.00 0.40 53.00 0.30
220.00 0.28 76.00 1.27
765.00 0.99 15.00 0.29
561.00 0.01 23.00 0.52
727.00 0.07 14.00 0.85
689.00 0.41 95.00 1.68
196.00 0.43 3.00 1.97
530.00 0.87 12.00 1.40
888.00 0.43 27.00 1.22
659.00 0.75 41.00 0.72
934.00 0.65 49.00 1.12
980.00 0.18 39.00 0.27
617.00 0.60 78.00 1.71
325.00 0.55 87.00 0.31
882.00 0.82 95.00 1.25
543.00 0.93 78.00 1.49
654.00 0.50 34.00 1.29
331.00 0.04 99.00 0.84
646.00 0.58 2.00 1.82
527.00 0.29 55.00 1.33
876.00 0.48 39.00 1.26
251.00 0.60 23.00 1.02
137.00 0.82 59.00 1.80
223.00 0.78 69.00 0.48
108.00 0.80 46.00 1.31
578.00 0.28 58.00 1.08
301.00 0.52 16.00 1.99
745.00 0.47 8.00 0.21
615.00 0.18 32.00 1.48
397.00 0.28 93.00 1.98
395.00 0.06 40.00 0.69
946.00 0.61 77.00 0.25
712.00 0.40 23.00 0.07
699.00 0.31 7.00 1.32
716.00 0.51 94.00 1.39
541.00 0.49 88.00 0.21
610.00 0.29 27.00 0.55
155.00 0.55 17.00 1.66
971.00 0.47 52.00 1.16
362.00 0.19 11.00 0.68
212.00 0.32 92.00 1.06
712.00 0.38 27.00 1.19
754.00 0.22 68.00 0.82
535.00 0.57 66.00 0.22
340.00 0.03 33.00 0.06
170.00 0.16 80.00 0.22
202.00 0.80 95.00 1.83
200.00 0.41 43.00 1.16
286.00 0.53 19.00 0.15
249.00 0.73 83.00 0.49
409.00 0.41 57.00 0.74
914.00 0.15 81.00 1.87
677.00 0.62 37.00 1.29
316.00 0.21 70.00 0.22
521.00 0.42 62.00 0.53
447.00 0.31 77.00 0.85
177.00 0.56 86.00 1.21
744.00 0.71 69.00 0.30
861.00 0.08 96.00 0.71
357.00 0.01 74.00 0.24
696.00 0.51 81.00 1.14
239.00 0.75 28.00 1.44
465.00 0.60 34.00 1.35
596.00 0.35 63.00 1.59
126.00 0.00 43.00 0.98
827.00 0.36 22.00 0.76
171.00 0.25 15.00 1.69
988.00 0.38 10.00 1.72
515.00 0.83 3.00 0.23
140.00 0.75 82.00 0.18
954.00 0.17 85.00 1.71
719.00 0.43 91.00 0.49
739.00 0.43 52.00 1.59
717.00 0.20 19.00 1.99
135.00 0.56 41.00 0.97
908.00 0.78 83.00 1.86
616.00 0.84 12.00 1.11
950.00 0.27 30.00 0.68
967.00 0.37 95.00 1.07
730.00 0.66 36.00 1.34
309.00 0.49 25.00 0.95
473.00 0.65 60.00 1.69
916.00 0.67 37.00 1.02
588.00 0.06 81.00 0.11
258.00 0.08 11.00 0.05
342.00 0.54 92.00 1.54
629.00 0.02 80.00 0.62
936.00 0.55 72.00 1.18
328.00 0.97 31.00 0.55
194.00 0.71 98.00 0.53
831.00 0.74 98.00 0.54
230.00 0.98 82.00 0.16
548.00 0.42 39.00 0.17
847.00 0.82 10.00 1.54
229.00 0.25 35.00 0.64
451.00 0.10 98.00 0.14
750.00 0.13 54.00 1.83
613.00 0.98 67.00 0.37
624.00 0.15 39.00 1.80
371.00 0.78 24.00 0.02
378.00 0.95 38.00 0.91
111.00 0.70 39.00 0.26
638.00 0.68 84.00 0.93
845.00 0.61 80.00 1.76
627.00 0.50 47.00 1.70
222.00 0.66 9.00 0.39
296.00 0.64 50.00 1.93
920.00 0.86 88.00 0.09
396.00 0.31 77.00 1.64
361.00 0.96 90.00 1.96
434.00 0.11 85.00 1.61
991.00 0.45 62.00 0.58
873.00 0.72 8.00 1.27
723.00 0.67 62.00 0.02
347.00 0.14 97.00 0.87
334.00 0.69 11.00 0.15
443.00 0.87 48.00 0.43
732.00 0.84 72.00 1.60
748.00 0.75 70.00 0.27
957.00 0.63 97.00 1.72
675.00 0.56 50.00 0.67
181.00 0.41 88.00 1.58
473.00 0.26 47.00 1.26
583.00 0.26 62.00 0.37
763.00 0.85 16.00 1.77
190.00 0.90 24.00 0.77
404.00 0.59 19.00 1.60
921.00 0.64 82.00 1.18
258.00 0.19 42.00 0.32
942.00 0.16 20.00 1.56
858.00 0.74 19.00 0.96
492.00 0.92 22.00 0.11
402.00 0.09 98.00 1.74
903.00 0.79 30.00 0.66
976.00 0.64 49.00 0.81
896.00 0.74 18.00 0.01
788.00 0.30 44.00 1.59
321.00 0.58 17.00 0.24
207.00 0.97 94.00 1.23
486.00 0.04 59.00 0.46
290.00 0.93 45.00 1.36
849.00 0.14 58.00 0.75
700.00 0.35 30.00 0.93
321.00 0.35 90.00 0.52
162.00 0.00 49.00 1.16
256.00 0.29 21.00 0.62
404.00 0.17 92.00 1.65
387.00 0.33 22.00 0.56
363.00 0.44 57.00 1.76
560.00 0.22 32.00 0.29
798.00 0.28 57.00 1.35
241.00 0.46 75.00 0.41
303.00 0.70 44.00 1.39
806.00 0.27 51.00 1.11
926.00 0.12 7.00 0.72
678.00 0.12 47.00 1.77
913.00 0.59 50.00 0.34
458.00 0.32 74.00 1.85
965.00 0.13 4.00 1.75
346.00 0.57 72.00 1.53
145.00 0.99 89.00 0.80
291.00 0.79 27.00 0.59
598.00 0.99 37.00 1.70
707.00 0.23 55.00 1.91
634.00 0.46 56.00 0.16
594.00 0.19 11.00 0.12
367.00 0.01 84.00 0.45
841.00 0.45 43.00 1.06
709.00 0.36 91.00 0.40
912.00 0.04 56.00 0.44
279.00 0.13 58.00 1.92
815.00 0.71 69.00 1.58
210.00 0.86 23.00 0.23
153.00 0.38 65.00 0.43
906.00 0.01 41.00 0.56
420.00 0.57 83.00 1.13
661.00 0.33 46.00 0.75
726.00 0.72 73.00 0.94
247.00 0.23 63.00 1.97
271.00 0.48 8.00 1.64
117.00 0.73 95.00 1.11
390.00 0.89 45.00 0.54
148.00 0.99 27.00 0.52
408.00 0.58 48.00 1.37
929.00 0.63 95.00 0.59
888.00 0.10 57.00 1.21

